isic_id,lesion_id,diagnosis_3,binary_label,label,image_path
ISIC_0024343,IL_5599569,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024343.jpg
ISIC_0024344,IL_1817487,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024344.jpg
ISIC_0024345,IL_9200198,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024345.jpg
ISIC_0024347,IL_8084294,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024347.jpg
ISIC_0024348,IL_8005074,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024348.jpg
ISIC_0024350,IL_9971914,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024350.jpg
ISIC_0024351,IL_5307158,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024351.jpg
ISIC_0024352,IL_1044607,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024352.jpg
ISIC_0024355,IL_1020594,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024355.jpg
ISIC_0024358,IL_4380450,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024358.jpg
ISIC_0024359,IL_2147958,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024359.jpg
ISIC_0024360,IL_5698688,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024360.jpg
ISIC_0024361,IL_8813301,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024361.jpg
ISIC_0024363,IL_6227842,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024363.jpg
ISIC_0024365,IL_4238904,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024365.jpg
ISIC_0024366,IL_3323234,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024366.jpg
ISIC_0024367,IL_5673593,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024367.jpg
ISIC_0024368,IL_1999856,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024368.jpg
ISIC_0024369,IL_3888395,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024369.jpg
ISIC_0024370,IL_0570567,Benign vascular lesion,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024370.jpg
ISIC_0024371,IL_5610122,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024371.jpg
ISIC_0024374,IL_4603474,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024374.jpg
ISIC_0024376,IL_1314581,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024376.jpg
ISIC_0024378,IL_7461066,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024378.jpg
ISIC_0024379,IL_3152736,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024379.jpg
ISIC_0024381,IL_9640595,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024381.jpg
ISIC_0024383,IL_5129631,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024383.jpg
ISIC_0024384,IL_8959331,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024384.jpg
ISIC_0024385,IL_0387173,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024385.jpg
ISIC_0024386,IL_2835543,Dermatofibroma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024386.jpg
ISIC_0024388,IL_8200386,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024388.jpg
ISIC_0024389,IL_9842915,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024389.jpg
ISIC_0024390,IL_5053446,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024390.jpg
ISIC_0024391,IL_4758541,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024391.jpg
ISIC_0024393,IL_0433658,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024393.jpg
ISIC_0024395,IL_2491305,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024395.jpg
ISIC_0024397,IL_7201259,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024397.jpg
ISIC_0024398,IL_3135394,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024398.jpg
ISIC_0024399,IL_8497342,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024399.jpg
ISIC_0024401,IL_1538548,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024401.jpg
ISIC_0024404,IL_5561007,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024404.jpg
ISIC_0024405,IL_7062248,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024405.jpg
ISIC_0024407,IL_1462055,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024407.jpg
ISIC_0024408,IL_1622746,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024408.jpg
ISIC_0024411,IL_3065371,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024411.jpg
ISIC_0024412,IL_9852683,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024412.jpg
ISIC_0024413,IL_1907806,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024413.jpg
ISIC_0024414,IL_9982125,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024414.jpg
ISIC_0024415,IL_8579014,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024415.jpg
ISIC_0024416,IL_3897309,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024416.jpg
ISIC_0024418,IL_2191346,"Squamous cell carcinoma, NOS",Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024418.jpg
ISIC_0024419,IL_9037732,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024419.jpg
ISIC_0024422,IL_5429509,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024422.jpg
ISIC_0024423,IL_0784419,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024423.jpg
ISIC_0024424,IL_4710660,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024424.jpg
ISIC_0024425,IL_4846771,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024425.jpg
ISIC_0024426,IL_2706598,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024426.jpg
ISIC_0024427,IL_0372814,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024427.jpg
ISIC_0024428,IL_6426370,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024428.jpg
ISIC_0024429,IL_6461814,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024429.jpg
ISIC_0024430,IL_6246020,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024430.jpg
ISIC_0024431,IL_9086281,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024431.jpg
ISIC_0024432,IL_9546765,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024432.jpg
ISIC_0024433,IL_2495824,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024433.jpg
ISIC_0024434,IL_8270721,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024434.jpg
ISIC_0024435,IL_4786809,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024435.jpg
ISIC_0024436,IL_6251824,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024436.jpg
ISIC_0024437,IL_2592240,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024437.jpg
ISIC_0024438,IL_8765128,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024438.jpg
ISIC_0024439,IL_4958231,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024439.jpg
ISIC_0024440,IL_4955825,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024440.jpg
ISIC_0024442,IL_0584144,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024442.jpg
ISIC_0024443,IL_4580158,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024443.jpg
ISIC_0024444,IL_0465330,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024444.jpg
ISIC_0024447,IL_9935499,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024447.jpg
ISIC_0024448,IL_2737157,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024448.jpg
ISIC_0024449,IL_2075245,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024449.jpg
ISIC_0024450,IL_5904233,"Squamous cell carcinoma, NOS",Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024450.jpg
ISIC_0024451,IL_0745044,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024451.jpg
ISIC_0024452,IL_1068372,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024452.jpg
ISIC_0024453,IL_8670377,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024453.jpg
ISIC_0024455,IL_9693537,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024455.jpg
ISIC_0024457,IL_8374443,Basal cell carcinoma,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024457.jpg
ISIC_0024465,IL_3830243,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024465.jpg
ISIC_0024466,IL_1542977,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024466.jpg
ISIC_0024467,IL_4275311,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024467.jpg
ISIC_0024470,IL_8119929,Solar or actinic keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024470.jpg
ISIC_0024473,IL_9458416,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024473.jpg
ISIC_0024474,IL_2642422,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024474.jpg
ISIC_0024475,IL_3671698,Benign vascular lesion,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024475.jpg
ISIC_0024477,IL_3679062,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024477.jpg
ISIC_0024479,IL_5907169,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024479.jpg
ISIC_0024480,IL_3049913,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024480.jpg
ISIC_0024481,IL_1622119,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024481.jpg
ISIC_0024482,IL_1286341,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024482.jpg
ISIC_0024483,IL_3847998,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024483.jpg
ISIC_0024484,IL_4368549,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024484.jpg
ISIC_0024485,IL_2789409,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024485.jpg
ISIC_0024486,IL_2623024,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024486.jpg
ISIC_0024487,IL_7476034,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024487.jpg
ISIC_0024488,IL_7357983,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024488.jpg
ISIC_0024489,IL_1259124,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024489.jpg
ISIC_0024491,IL_8532395,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024491.jpg
ISIC_0024492,IL_9043659,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024492.jpg
ISIC_0024493,IL_5279658,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024493.jpg
ISIC_0024495,IL_9959416,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024495.jpg
ISIC_0024496,IL_2429008,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024496.jpg
ISIC_0024498,IL_1391253,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024498.jpg
ISIC_0024499,IL_6244013,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024499.jpg
ISIC_0024501,IL_9792309,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024501.jpg
ISIC_0024502,IL_9913967,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024502.jpg
ISIC_0024503,IL_9854786,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024503.jpg
ISIC_0024505,IL_6292179,Pigmented benign keratosis,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024505.jpg
ISIC_0024507,IL_8977258,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024507.jpg
ISIC_0024508,IL_9079873,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024508.jpg
ISIC_0024509,IL_8717579,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024509.jpg
ISIC_0024510,IL_7689744,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024510.jpg
ISIC_0024513,IL_7584981,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024513.jpg
ISIC_0024514,IL_9830001,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024514.jpg
ISIC_0024516,IL_8419012,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024516.jpg
ISIC_0024517,IL_4120644,"Squamous cell carcinoma, NOS",Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024517.jpg
ISIC_0024518,IL_9252722,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024518.jpg
ISIC_0024519,IL_2707646,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024519.jpg
ISIC_0024520,IL_5411853,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024520.jpg
ISIC_0024521,IL_3252123,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024521.jpg
ISIC_0024522,IL_6894920,"Squamous cell carcinoma, NOS",Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024522.jpg
ISIC_0024523,IL_9455514,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024523.jpg
ISIC_0024524,IL_9784455,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024524.jpg
ISIC_0024525,IL_0787429,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024525.jpg
ISIC_0024526,IL_3718970,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024526.jpg
ISIC_0024527,IL_5815964,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024527.jpg
ISIC_0024528,IL_7587599,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024528.jpg
ISIC_0024530,IL_6245519,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024530.jpg
ISIC_0024531,IL_5035698,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024531.jpg
ISIC_0024532,IL_3798756,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024532.jpg
ISIC_0024533,IL_6133442,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024533.jpg
ISIC_0024534,IL_2177176,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024534.jpg
ISIC_0024536,IL_5934219,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024536.jpg
ISIC_0024537,IL_7469164,"Melanoma, NOS",Melanoma,1,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024537.jpg
ISIC_0024538,IL_1950985,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024538.jpg
ISIC_0024539,IL_1433042,"Squamous cell carcinoma, NOS",Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024539.jpg
ISIC_0024540,IL_1549838,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024540.jpg
ISIC_0024541,IL_1193274,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024541.jpg
ISIC_0024542,IL_4218959,Nevus,Non-Melanoma,0,/content/drive/MyDrive/bachelor_thesis_data/HAM10000_ISIC/images/ISIC_0024542.jpg
